Order ID,Order Date,Ship Date,Region,State,City,Category,Sub-Category,Sales,Profit,Quantity,Discount,Shipping Cost
ORD-1000,01-2022,01-2022,South,Washington,Spokane,Furniture,Bookcases,223.86,-47.69,2,0,7.55
ORD-1001,10-2022,11-2022,Central,Illinois,Chicago,Office Supplies,Labels,897.1,-173.82,4,0,19.21
ORD-1002,04-2022,04-2022,Central,New York,Buffalo,Office Supplies,Labels,684.93,6.77,4,0.2,38.02
ORD-1003,02-2023,02-2023,East,New York,Rochester,Furniture,Tables,564.44,35.46,8,0.3,12.15
ORD-1004,10-2023,10-2023,South,Ohio,Columbus,Office Supplies,Labels,332.71,41.79,9,0.2,5.79
ORD-1005,08-2022,08-2022,East,California,San Diego,Furniture,Chairs,869.34,139.84,7,0.5,17.94
ORD-1006,02-2023,02-2023,East,Washington,Spokane,Furniture,Chairs,913.54,21.74,10,0.1,30.98
ORD-1007,06-2022,06-2022,West,Florida,Tampa,Technology,Accessories,23.29,0.39,8,0.3,32.75
ORD-1008,03-2022,03-2022,East,Florida,Tampa,Office Supplies,Binders,260.53,68.65,1,0.1,43.49
ORD-1009,03-2022,03-2022,Central,California,San Diego,Technology,Accessories,693.35,-107.84,9,0.3,43.06
ORD-1010,10-2022,11-2022,Central,Texas,Austin,Furniture,Chairs,24.73,2.35,3,0.1,24.7
ORD-1011,12-2022,12-2022,Central,California,San Francisco,Furniture,Bookcases,716.52,62.91,6,0.1,39.04
ORD-1012,05-2022,05-2022,West,California,San Francisco,Furniture,Bookcases,893.23,147.08,6,0,11.08
ORD-1013,10-2022,11-2022,Central,New York,Buffalo,Furniture,Chairs,427.88,-119.42,8,0,39.11
ORD-1014,04-2022,04-2022,West,Florida,Miami,Furniture,Tables,417.87,130.57,3,0.1,33.98
ORD-1015,08-2022,08-2022,Central,Illinois,Peoria,Office Supplies,Binders,155.47,2.8,9,0.3,38.72
ORD-1016,01-2022,01-2022,West,Texas,Austin,Technology,Phones,942.76,208.17,10,0.3,20.97
ORD-1017,11-2023,12-2023,West,Washington,Spokane,Furniture,Tables,807.9,204.99,10,0.3,9.6
ORD-1018,04-2022,04-2022,Central,Washington,Spokane,Furniture,Tables,286.42,46.77,3,0.4,12.98
ORD-1019,07-2023,07-2023,East,California,San Diego,Furniture,Bookcases,813.24,-57.7,4,0.5,10.06
ORD-1020,12-2022,12-2022,Central,Washington,Tacoma,Office Supplies,Binders,584.28,-77.48,10,0.2,17.93
ORD-1021,11-2023,11-2023,East,Texas,Austin,Technology,Copiers,268.77,57.9,4,0.1,35.73
ORD-1022,06-2023,06-2023,West,Texas,Dallas,Technology,Accessories,838.63,-135.69,3,0.3,35.71
ORD-1023,11-2023,12-2023,South,Washington,Seattle,Office Supplies,Labels,992.09,-42.33,2,0.5,26.95
ORD-1024,12-2022,01-2023,West,Illinois,Chicago,Office Supplies,Paper,877.05,-94.15,1,0.5,37.46
ORD-1025,12-2022,12-2022,West,Ohio,Cincinnati,Office Supplies,Binders,755.34,21.62,4,0.3,41.69
ORD-1026,08-2023,08-2023,South,Texas,Dallas,Technology,Copiers,262.1,25.72,8,0,39.7
ORD-1027,11-2023,11-2023,East,New York,Rochester,Technology,Copiers,234.14,-29.73,9,0,13.82
ORD-1028,06-2022,06-2022,Central,Washington,Seattle,Office Supplies,Labels,481.1,43.69,3,0,21.01
ORD-1029,01-2023,01-2023,South,Georgia,Atlanta,Technology,Phones,512.6,-21.42,10,0.2,36.71
ORD-1030,08-2022,08-2022,East,Illinois,Springfield,Furniture,Chairs,262.19,57.4,1,0.3,16.76
ORD-1031,06-2022,06-2022,East,Washington,Seattle,Furniture,Chairs,362.98,-47.98,1,0.4,9.99
ORD-1032,08-2022,08-2022,West,Texas,Austin,Technology,Phones,425.17,1.9,5,0.1,13.82
ORD-1033,10-2023,10-2023,Central,New York,Rochester,Office Supplies,Binders,925.31,45.38,7,0.4,8.68
ORD-1034,05-2022,05-2022,South,New York,Rochester,Technology,Phones,312.32,64.14,6,0.2,16.19
ORD-1035,01-2022,01-2022,West,Illinois,Peoria,Furniture,Bookcases,993.9,-133.15,1,0.2,49.34
ORD-1036,01-2022,01-2022,Central,Illinois,Chicago,Office Supplies,Binders,680.96,-180.68,3,0.1,47.01
ORD-1037,02-2023,02-2023,East,Illinois,Peoria,Office Supplies,Labels,771.21,185.6,4,0.2,8.19
ORD-1038,02-2023,02-2023,Central,Illinois,Springfield,Furniture,Bookcases,709.19,-57.4,1,0,41.19
ORD-1039,08-2023,09-2023,East,Illinois,Chicago,Furniture,Chairs,676.66,-71.49,4,0.4,36.74
ORD-1040,09-2022,09-2022,West,New York,New York City,Furniture,Chairs,453.13,117.59,9,0.1,14.76
ORD-1041,03-2022,03-2022,West,Georgia,Augusta,Technology,Copiers,758.41,26.42,5,0.1,23.71
ORD-1042,03-2022,03-2022,West,California,San Diego,Furniture,Bookcases,784.47,-32.21,10,0.4,9.25
ORD-1043,11-2022,11-2022,West,New York,New York City,Office Supplies,Paper,620.26,-166.21,6,0.1,40.26
ORD-1044,08-2023,08-2023,South,Texas,Austin,Technology,Accessories,963.91,108.49,4,0.5,48.38
ORD-1045,03-2023,03-2023,East,Washington,Tacoma,Office Supplies,Paper,620.87,-73.98,4,0.5,22.32
ORD-1046,03-2022,04-2022,Central,Ohio,Cincinnati,Technology,Copiers,238.09,38.36,2,0.4,29.32
ORD-1047,03-2022,03-2022,East,California,San Diego,Furniture,Chairs,222.88,27.42,3,0.3,25.14
ORD-1048,11-2023,11-2023,South,Georgia,Augusta,Technology,Copiers,874.93,133.94,6,0.1,31.36
ORD-1049,07-2022,08-2022,South,Georgia,Augusta,Technology,Copiers,288.23,78.88,1,0,39.68
ORD-1050,10-2022,10-2022,West,Florida,Miami,Office Supplies,Paper,668.48,245.96,2,0.2,16.87
ORD-1051,02-2023,02-2023,South,New York,New York City,Furniture,Chairs,230.18,26.6,3,0.1,23.05
ORD-1052,12-2022,12-2022,Central,Washington,Tacoma,Furniture,Bookcases,300.42,-31.25,10,0.4,22.57
ORD-1053,10-2023,10-2023,South,Georgia,Savannah,Technology,Copiers,512.09,176.03,9,0.1,30.8
ORD-1054,01-2023,02-2023,Central,Ohio,Columbus,Office Supplies,Labels,431.42,148.16,1,0,20.25
ORD-1055,12-2022,12-2022,Central,Texas,Dallas,Technology,Phones,78.74,2.57,6,0.3,37.61
ORD-1056,11-2022,11-2022,West,Illinois,Springfield,Office Supplies,Binders,901.54,-47.63,4,0,23.47
ORD-1057,10-2022,10-2022,South,California,San Francisco,Office Supplies,Labels,545.9,-126.38,1,0.1,27.52
ORD-1058,02-2023,02-2023,East,Texas,Houston,Furniture,Tables,428,102.58,5,0.5,6.92
ORD-1059,04-2023,04-2023,South,Georgia,Savannah,Furniture,Tables,883.67,51.94,5,0.4,5.42
ORD-1060,05-2022,05-2022,West,California,San Diego,Furniture,Tables,949.26,-245.77,8,0,8.02
ORD-1061,04-2022,04-2022,South,Ohio,Cincinnati,Furniture,Chairs,666.06,62.49,7,0.4,23.84
ORD-1062,03-2023,03-2023,East,New York,Rochester,Technology,Copiers,559.98,-83.86,7,0.5,15.7
ORD-1063,08-2022,08-2022,West,Ohio,Cincinnati,Technology,Phones,478.01,127.62,7,0,47.76
ORD-1064,08-2023,08-2023,West,Florida,Orlando,Furniture,Bookcases,724.37,236.45,2,0.3,43.27
ORD-1065,11-2023,11-2023,South,Illinois,Peoria,Office Supplies,Binders,855.71,-34.26,7,0,6.52
ORD-1066,11-2022,11-2022,West,New York,Rochester,Office Supplies,Paper,208.67,-49.77,9,0.1,25.14
ORD-1067,11-2023,11-2023,West,Washington,Tacoma,Technology,Accessories,669.43,186.23,8,0,33.15
ORD-1068,07-2022,07-2022,East,Illinois,Peoria,Office Supplies,Paper,279.22,41.44,5,0.4,9.68
ORD-1069,09-2023,09-2023,West,New York,New York City,Technology,Copiers,242.83,-54.33,1,0.2,6.4
ORD-1070,12-2023,12-2023,West,Illinois,Peoria,Office Supplies,Binders,281.69,112.64,2,0.1,30.11
ORD-1071,03-2022,03-2022,Central,Florida,Miami,Furniture,Tables,136.61,2.62,8,0.1,31.08
ORD-1072,07-2023,07-2023,South,Illinois,Peoria,Furniture,Bookcases,432.13,36.57,3,0.4,32.84
ORD-1073,08-2023,08-2023,West,California,San Diego,Technology,Copiers,259.22,71.29,5,0.3,47.09
ORD-1074,09-2023,09-2023,East,Illinois,Peoria,Technology,Phones,755.66,200.55,5,0.3,11.2
ORD-1075,12-2023,12-2023,South,Washington,Seattle,Technology,Phones,339.62,75,9,0.5,40.86
ORD-1076,11-2023,11-2023,South,Washington,Tacoma,Furniture,Chairs,165.6,15.21,7,0.5,8.9
ORD-1077,10-2023,10-2023,South,Illinois,Chicago,Office Supplies,Labels,699.06,116.04,4,0.1,29.73
ORD-1078,11-2023,11-2023,South,California,Los Angeles,Technology,Copiers,921.05,-61.13,8,0.4,24.33
ORD-1079,02-2023,02-2023,East,Georgia,Atlanta,Technology,Phones,189.64,10.24,5,0.4,41.2
ORD-1080,04-2023,04-2023,Central,California,Los Angeles,Technology,Copiers,65.81,-14.47,8,0,34.35
ORD-1081,03-2022,04-2022,West,Ohio,Cincinnati,Furniture,Tables,161.3,-39.22,3,0.1,27.19
ORD-1082,07-2023,07-2023,South,Florida,Miami,Technology,Copiers,627.48,-148.95,8,0.2,9.4
ORD-1083,08-2023,08-2023,South,Texas,Houston,Office Supplies,Labels,349.73,69.64,10,0.5,29.58
ORD-1084,09-2023,09-2023,South,New York,Buffalo,Furniture,Chairs,697.85,162.05,7,0.1,16.33
ORD-1085,01-2022,01-2022,West,California,San Francisco,Furniture,Bookcases,642.39,-23.34,8,0.4,29.43
ORD-1086,05-2022,05-2022,West,Georgia,Atlanta,Furniture,Chairs,159.22,-32.42,4,0.2,23.26
ORD-1087,02-2022,02-2022,South,Washington,Spokane,Furniture,Chairs,952.18,155.8,9,0.5,13.59
ORD-1088,03-2023,03-2023,Central,Illinois,Springfield,Furniture,Bookcases,891.92,-114.4,10,0.3,40.66
ORD-1089,01-2023,01-2023,Central,Ohio,Columbus,Furniture,Tables,619.88,58.24,7,0.5,7.74
ORD-1090,01-2022,01-2022,Central,Georgia,Augusta,Technology,Accessories,367.05,60.39,6,0.5,33.73
ORD-1091,11-2023,11-2023,South,Illinois,Springfield,Furniture,Tables,452.47,83.53,8,0.4,41.47
ORD-1092,05-2022,05-2022,West,New York,New York City,Furniture,Tables,461.9,85.67,9,0.5,17.03
ORD-1093,06-2023,06-2023,East,Georgia,Atlanta,Technology,Accessories,685.5,215.6,6,0.2,12.49
ORD-1094,06-2023,06-2023,East,Texas,Houston,Office Supplies,Paper,705.28,11.68,10,0.4,8.56
ORD-1095,01-2023,01-2023,Central,Florida,Tampa,Furniture,Bookcases,962.58,85.73,2,0.1,30.7
ORD-1096,08-2023,09-2023,West,Florida,Miami,Office Supplies,Labels,884.09,-110.66,3,0.1,34.64
ORD-1097,08-2022,08-2022,West,California,Los Angeles,Furniture,Chairs,560.42,-56.94,1,0.3,9.75
ORD-1098,03-2023,03-2023,West,Illinois,Peoria,Furniture,Bookcases,318.43,20.49,6,0,14.89
ORD-1099,07-2023,07-2023,East,Illinois,Chicago,Office Supplies,Binders,719.23,214.57,10,0,47.16
ORD-1100,08-2022,08-2022,West,Texas,Dallas,Office Supplies,Paper,354.25,172.71,7,0,22.25
ORD-1101,02-2023,02-2023,South,Georgia,Atlanta,Office Supplies,Binders,966.39,-57.96,6,0.1,37.86
ORD-1102,12-2023,12-2023,West,Florida,Orlando,Furniture,Chairs,821.82,130.71,6,0.5,11.16
ORD-1103,11-2023,12-2023,West,Washington,Tacoma,Office Supplies,Binders,743.76,-8.04,10,0.3,13.08
ORD-1104,09-2022,09-2022,West,Georgia,Atlanta,Technology,Accessories,932.47,100.73,10,0,8.24
ORD-1105,07-2023,07-2023,Central,California,Los Angeles,Technology,Accessories,708.14,-40.05,8,0.3,43.04
ORD-1106,09-2022,09-2022,West,Texas,Dallas,Furniture,Bookcases,992.96,9.51,2,0.4,11.03
ORD-1107,12-2023,12-2023,South,Ohio,Cincinnati,Technology,Phones,115.11,43.92,1,0,20.56
ORD-1108,10-2023,10-2023,Central,Washington,Spokane,Furniture,Chairs,615.85,103.42,4,0.4,30.41
ORD-1109,04-2022,04-2022,South,Washington,Seattle,Furniture,Bookcases,584.6,-61.84,2,0.4,13.07
ORD-1110,11-2023,11-2023,Central,Florida,Orlando,Technology,Accessories,714.98,156.04,7,0.4,43.55
